0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
17.8175,43.1038,73.4,77.95,2.94,44.964,44.25,62.9958,87.909,26.86,283.275,56.94,21.3,24.875,6.7867,50.6286,32.8482,14.6489,14.7162,23.84,40.4,34.2766,62.9868,5.7468,29.2677,17.427,33.7663,2.8058,4.0688,12.6416,43.7232,39.4,37.0786,18.74,292.895,64.9072,10.135,15.8571,76.8871,55.5861,31.3532,16.55,40.2239,29.764,29.0556,57.0883,81.378,19.1,38.764
18.2051,42.8077,72.75,76.85,3.6,44.271,44.525,61.7791,87.202,26.5,282.134,56.2,21.4333,24.675,6.8842,50.5803,32.8482,14.6293,14.5558,23.95,40.16,34.1115,61.822,5.6991,29.4827,17.427,31.8504,2.781,4.1061,12.6023,43.2057,38.22,36.881,18.67,292.048,64.6428,10.134,15.3257,76.0645,55.3228,29.8013,16.5,39.1109,29.7203,29.217,57.5251,80.797,18.97,38.535
19.2241,43.4245,72.25,78,3.608,44.149,45.225,61.7791,88.346,27.03,287.777,56.37,21.4833,24.4,6.8111,50.6768,33.5379,14.8643,14.4917,23.71,40.41,34.5597,62.124,5.8738,29.3521,17.5742,31.4376,2.7934,4.1247,12.6102,43.5421,38.22,36.6093,18.45,297.098,64.7309,10.107,15.4285,75.9194,55.5861,28.8932,16.475,39.1564,30.0262,29.5398,57.6561,81.326,19.867,38.466
19.0053,42.9804,71.75,77.75,3.602,43.999,44.475,61.1032,87.599,26.75,285.236,56.39,21.15,24.15,6.7013,49.8089,32.6876,14.7664,14.1869,22.9,40.04,34.7248,61.4769,5.7785,29.2178,17.6724,31.0671,2.7296,4.134,12.3745,42.8177,37,36.4117,18.45,296.195,64.3784,10.188,15.2485,75.4839,55.2936,28.6208,16.3,38.7475,29.5891,29.3246,57.1757,79.063,19.267,39.062
19.0991,43.4245,73.2,78.1,3.58,43.99,44.5,61.5087,87.279,26.3,284.078,56,21.2,24.15,6.7501,49.6642,32.2531,14.9035,14.3954,22.9,40.1,34.8192,61.2612,5.8103,29.4827,17.6724,30.8554,2.7296,4.1526,12.5395,43.5162,36.65,36.1646,18.51,296.081,63.409,10.185,15.5142,76.0645,55.3228,29.3637,16.15,39.6788,29.5454,29.1632,57.3941,79.678,19.26,38.863
18.6927,43.5479,71.9,76.5,3.614,43.1,42.05,60.6075,85.593,25.55,287.019,54.05,21.2666,23.575,6.683,49.6642,32.357,15.021,14.2671,22.9,39.22,33.9935,59.4061,5.9055,29.667,17.5742,30.1462,2.7031,4.1899,12.5709,42.9729,36.05,35.7447,18.01,301.502,63.0565,10.164,15.6085,74.3226,54.8547,28.1832,16,38.7703,29.458,28.9479,57.2193,78.89,18.933,38.366
18.4052,43.0051,71.35,75.5,3.62,43.343,40.635,60.6525,82.772,23.81,284.389,53.65,21.55,23.45,6.6952,49.5678,31.4312,15.1385,13.8902,22.42,39.13,35.3854,56.7744,5.8896,29.0642,17.3288,28.8972,2.6889,4.1805,12.5788,41.9639,34.3,34.9048,18.09,299.543,62.5718,9.971,15.0085,73.4516,55.4398,26.4827,16.12,38.0435,29.6766,28.5713,57.132,78.387,19.45,37.571
18.2551,42.4129,72.5,76.5,3.67,43.737,41.5,60.3822,82.113,24.6,294.328,53.96,21.8167,23.75,6.8599,49.4231,31.6485,14.8839,13.9303,23.22,40.1,36.329,56.0842,5.9373,29.5633,16.8502,28.8443,2.7101,4.0874,12.6495,42.5331,34.18,35.0777,18.19,307.494,61.9108,9.755,14.4685,72.871,55.1473,26.6973,15.95,39.9513,29.2832,28.0332,56.3458,78.638,19.613,37.174
18.2989,43.1778,71.8,78.15,3.66,44.214,40.125,59.4359,80.233,25.15,301.174,53.26,21.9833,23.6,6.7196,49.2785,31.1477,15.0993,13.7057,23.88,39.7,36.1403,54.8762,5.9055,28.9106,17.3902,29.2782,2.6836,4.0409,12.5552,42.352,34.31,34.8801,18.12,309.853,61.8226,9.673,13.5943,72.5323,55.001,26.2185,16.03,38.6567,29.3269,28.3023,56.2584,77.182,19.737,37.472
18.2989,43.1778,71.8,78.15,3.8,44.243,42.42,59.4359,80.882,24.87,307.431,54.22,21.9833,23.805,6.8599,49.2785,31.1477,15.1189,14.0987,23.88,39.9,36.1403,54.8762,5.8261,28.9106,17.3902,29.2782,2.719,4.0036,12.7123,42.352,34.47,34.8801,18.26,313.867,61.8226,9.728,13.5943,72.5323,55.001,26.2185,16.03,38.6567,29.4143,28.1408,56.2584,77.936,19.957,37.77
18.3176,44.2881,73.05,80,3.822,43.287,43.762,60.1118,82.753,24.58,315.052,54.57,22.2333,23.55,6.8721,49.7606,32.5459,15.2756,14.1147,24.05,40.17,36.329,55.3939,5.842,29.2178,17.8565,30.2944,2.6907,3.985,12.7202,42.0674,35.85,35.72,18.74,315.407,63.0565,9.719,12.7885,72.9193,55.0888,27.5889,16.01,38.7021,30.3322,28.1408,55.6469,77.416,20.307,39.012
18.2864,43.2025,72.35,80.35,3.83,43.334,43.475,59.9316,82.482,23.3,309.125,54.62,22.4667,23.355,6.866,50.0499,32.6782,14.9035,13.8661,23.85,40.19,36.5649,54.2291,5.7944,29.3406,18.0529,30.051,2.7155,3.9385,12.6966,41.938,36.13,34.6331,18.89,315.293,63.0565,9.728,13.0714,73.2581,55.1765,28.2328,16.015,38.9974,29.9388,27.818,54.9917,77.849,20.613,39.559
18.4302,42.8817,72.9,78.6,3.8,44.074,43.512,59.0754,82.772,23.45,301.103,54.14,22.4333,23.465,6.805,50.0982,32.0074,15.0406,13.8341,24.8,41.03,35.6213,52.2014,5.8896,29.1371,18.1265,30.8025,2.719,3.9198,12.6259,41.6793,36,34.6331,18.91,311.641,63.1887,9.758,12.9685,72,55.1473,28.2575,16.05,38.4977,30.5944,28.0332,54.8607,77.416,20.423,39.251
